"","publisher","id","owners","name","release_date","categories","price","user_rating","expert_rating","game_mode","d_publisher"
"123","BANDAI NAMCO Entertainment",678950,1500000,"DRAGON BALL FighterZ",2018,"Single-player Multi-player Online Multi-Player",44.99,0.82,0.85,0,1
"124","BANDAI NAMCO Entertainment",454650,1100000,"DRAGON BALL XENOVERSE 2",2016,"Single-player Multi-player Online Multi-Player",39.99,0.79,0.78,0,1
"125","BANDAI NAMCO Entertainment",589360,1e+06,"Ni no Kuni™ II: Revenant Kingdom",2018,"Single-player",49.99,0.83,0.81,1,1
"126","BANDAI NAMCO Entertainment",633230,560000,"NARUTO TO BORUTO: SHINOBI STRIKER",2018,"Single-player Online Multi-Player",39.99,0.55,0.66,0,1
"127","BANDAI NAMCO Entertainment",234670,1800000,"NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD",2013,"Single-player Multi-player Online Multi-Player Local Multi-Player",14.99,0.9,0.8,0,1
"128","BANDAI NAMCO Entertainment",525480,7e+05,".hack//G.U. Last Recode",2017,"Single-player",39.99,0.88,0.69,1,1
"129","BANDAI NAMCO Entertainment",429660,2400000,"Tales of Berseria™",2017,"Single-player",39.99,0.93,0.8,1,1
"130","BANDAI NAMCO Entertainment",816020,430000,"JUMP FORCE",2019,"Single-player Online Multi-Player Local Multi-Player",49.99,0.56,0.6,0,1
"131","BANDAI NAMCO Entertainment",389730,2300000,"TEKKEN 7",2017,"Single-player Multi-player Online Multi-Player Local Multi-Player",34.99,0.83,0.82,0,1
"132","BANDAI NAMCO Entertainment",626690,880000,"Sword Art Online: Fatal Bullet",2018,"Single-player Online Multi-Player",34.99,0.73,0.61,0,1
"133","BANDAI NAMCO Entertainment",544750,2500000,"SOULCALIBUR VI",2018,"Single-player Online Multi-Player Local Multi-Player",49.99,0.82,0.8,0,1
"134","BANDAI NAMCO Entertainment",351970,1600000,"Tales of Zestiria",2015,"Single-player",39.99,0.85,0.77,1,1
"135","BANDAI NAMCO Entertainment",245280,2800000,"ENSLAVED™: Odyssey to the West™ Premium Edition",2013,"Single-player",14.99,0.85,0.7,1,1
"136","BANDAI NAMCO Entertainment America",291410,1500000,"Duelyst",2016,"Single-player Multi-player Online Multi-Player  Multiplayer",0,0.81,0.82,0,1
"137","BANDAI NAMCO Entertainment;FromSoftware, Inc",236430,1800000,"DARK SOULS™ II",2014,"Single-player Multi-player",29.99,0.89,0.91,0,1
"138","BANDAI NAMCO Entertainment;FromSoftware, Inc",335300,4400000,"DARK SOULS™ II: Scholar of the First Sin",2015,"Single-player Multi-player",29.99,0.86,0.79,0,1
"139","Beamdog",257350,1300000,"Baldur's Gate II: Enhanced Edition",2013,"Single-player Multi-player   Multiplayer",14.99,0.86,0.78,0,0
"140","Beamdog",466300,1100000,"Planescape: Torment: Enhanced Edition",2017,"Single-player",14.99,0.95,0.85,1,0
"141","Beamdog",228280,1500000,"Baldur's Gate: Enhanced Edition",2013,"Single-player Multi-player   Multiplayer",14.99,0.86,0.78,0,0
"142","Beat Games",620980,2100000,"Beat Saber",2018,"Single-player",15.49,0.93,0.93,1,0
"143","BeautiFun Games",252670,1600000,"Nihilumbra",2013,"Single-player",4.99,0.89,0.75,1,0
"144","Behold Studios",251130,2300000,"Chroma Squad",2015,"Single-player",11.39,0.93,0.75,1,0
"145","Benjamin Rivers Inc.",215670,1800000,"Home",2012,"Single-player",1.99,0.67,0.69,1,0
"146","Bethesda-Soft",201810,4600000,"Wolfenstein: The New Order",2014,"Single-player",14.99,0.9,0.81,1,1
"147","Bethesda-Softworks",9010,1700000,"Return to Castle Wolfenstein",2007,"Single-player Multi-player",3.99,0.92,0.88,0,1
